species,lease_area,month,buffer_size,density
Atlantic_spotted_dolphin,OCS-A 0544 - Vineyard Mid-Atlantic LLC,1,10000,0.0029731174
Atlantic_spotted_dolphin,OCS-A 0544 - Vineyard Mid-Atlantic LLC,1,50000,0.0067416476
Atlantic_spotted_dolphin,OCS-A 0544 - Vineyard Mid-Atlantic LLC,1,100000,0.017847106
Atlantic_spotted_dolphin,"OCS-A 0545 - TotalEnergies Carolina Long Bay, LLC",1,0,5.8365655
Atlantic_spotted_dolphin,"OCS-A 0545 - TotalEnergies Carolina Long Bay, LLC",1,10000,6.859122
Atlantic_spotted_dolphin,"OCS-A 0545 - TotalEnergies Carolina Long Bay, LLC",1,50000,6.808369
Atlantic_spotted_dolphin,"OCS-A 0545 - TotalEnergies Carolina Long Bay, LLC",1,100000,4.7922983
Atlantic_spotted_dolphin,"OCS-A 0546 - Duke Energy Renewables Wind, LLC",1,0,8.184783
Atlantic_spotted_dolphin,"OCS-A 0546 - Duke Energy Renewables Wind, LLC",1,10000,9.213595
Atlantic_spotted_dolphin,"OCS-A 0546 - Duke Energy Renewables Wind, LLC",1,50000,6.947258
Atlantic_spotted_dolphin,"OCS-A 0546 - Duke Energy Renewables Wind, LLC",1,100000,4.5625944
Atlantic_spotted_dolphin,"OCS-A 0549 - Atlantic Shores Offshore Wind, LLC",1,0,9.582146e-05
Atlantic_spotted_dolphin,"OCS-A 0549 - Atlantic Shores Offshore Wind, LLC",1,10000,0.00027080905
Atlantic_spotted_dolphin,"OCS-A 0549 - Atlantic Shores Offshore Wind, LLC",1,50000,0.0044028144
Atlantic_spotted_dolphin,"OCS-A 0549 - Atlantic Shores Offshore Wind, LLC",1,100000,0.03703738
Atlantic_spotted_dolphin,"OCS-G 37334 - RWE Offshore US Gulf, LLC",1,0,nan
Atlantic_spotted_dolphin,"OCS-G 37334 - RWE Offshore US Gulf, LLC",1,10000,nan
Atlantic_spotted_dolphin,"OCS-G 37334 - RWE Offshore US Gulf, LLC",1,50000,nan
Atlantic_spotted_dolphin,"OCS-G 37334 - RWE Offshore US Gulf, LLC",1,100000,nan
Atlantic_spotted_dolphin,OCS-A 0482 - GSOE I  LLC,2,0,0.00045407284
Atlantic_spotted_dolphin,OCS-A 0482 - GSOE I  LLC,2,10000,0.00065767195
Atlantic_spotted_dolphin,OCS-A 0482 - GSOE I  LLC,2,50000,0.005542435
Atlantic_spotted_dolphin,OCS-A 0482 - GSOE I  LLC,2,100000,0.073272645
Atlantic_spotted_dolphin,OCS-A 0483 - Virginia Electric and Power Company,2,0,0.025573298
Atlantic_spotted_dolphin,OCS-A 0483 - Virginia Electric and Power Company,2,10000,0.03650969
Atlantic_spotted_dolphin,OCS-A 0483 - Virginia Electric and Power Company,2,50000,0.12605862
Atlantic_spotted_dolphin,OCS-A 0483 - Virginia Electric and Power Company,2,100000,1.6080539
Atlantic_spotted_dolphin,"OCS-A 0486 - Revolution Wind, LLC",2,0,2.1522312e-05
Atlantic_spotted_dolphin,"OCS-A 0486 - Revolution Wind, LLC",2,10000,3.0650393e-05
Atlantic_spotted_dolphin,"OCS-A 0486 - Revolution Wind, LLC",2,50000,0.00013599431
Atlantic_spotted_dolphin,"OCS-A 0486 - Revolution Wind, LLC",2,100000,0.0005165538
Atlantic_spotted_dolphin,OCS-A 0487 - Sunrise Wind LLC,2,0,0.00018541484
Atlantic_spotted_dolphin,OCS-A 0487 - Sunrise Wind LLC,2,10000,0.00017440075
Atlantic_spotted_dolphin,OCS-A 0487 - Sunrise Wind LLC,2,50000,0.00028891987
Atlantic_spotted_dolphin,OCS-A 0487 - Sunrise Wind LLC,2,100000,0.002380001
Atlantic_spotted_dolphin,OCS-A 0490 - US Wind Inc.,2,0,0.00060939585
Atlantic_spotted_dolphin,OCS-A 0490 - US Wind Inc.,2,10000,0.001507472
Atlantic_spotted_dolphin,OCS-A 0490 - US Wind Inc.,2,50000,0.024742473
Atlantic_spotted_dolphin,OCS-A 0490 - US Wind Inc.,2,100000,0.35922092
Atlantic_spotted_dolphin,OCS-A 0498 - Ocean Wind LLC,2,0,0.00013861163
Atlantic_spotted_dolphin,OCS-A 0498 - Ocean Wind LLC,2,10000,0.00037156456
Atlantic_spotted_dolphin,OCS-A 0498 - Ocean Wind LLC,2,50000,0.0026579304
Atlantic_spotted_dolphin,OCS-A 0498 - Ocean Wind LLC,2,100000,0.029030422
Atlantic_spotted_dolphin,"OCS-A 0499 - Atlantic Shores Offshore Wind Projects 1 & 2, LLC's",2,0,9.6886826e-05
Atlantic_spotted_dolphin,"OCS-A 0499 - Atlantic Shores Offshore Wind Projects 1 & 2, LLC's",2,10000,0.00026001577
Atlantic_spotted_dolphin,"OCS-A 0499 - Atlantic Shores Offshore Wind Projects 1 & 2, LLC's",2,50000,0.0023910461
Atlantic_spotted_dolphin,"OCS-A 0499 - Atlantic Shores Offshore Wind Projects 1 & 2, LLC's",2,100000,0.026587017
Atlantic_spotted_dolphin,OCS-A 0500 - Bay State Wind LLC,2,0,0.00014133785
Atlantic_spotted_dolphin,OCS-A 0500 - Bay State Wind LLC,2,10000,0.0002166561
Atlantic_spotted_dolphin,OCS-A 0500 - Bay State Wind LLC,2,50000,0.0004657929
Atlantic_spotted_dolphin,OCS-A 0500 - Bay State Wind LLC,2,100000,0.05040665
Atlantic_spotted_dolphin,OCS-A 0501 - Vineyard Wind LLC,2,0,4.194171e-05
Atlantic_spotted_dolphin,OCS-A 0501 - Vineyard Wind LLC,2,10000,5.6812965e-05
Atlantic_spotted_dolphin,OCS-A 0501 - Vineyard Wind LLC,2,50000,0.00014817867
Atlantic_spotted_dolphin,OCS-A 0501 - Vineyard Wind LLC,2,100000,0.00048077924
Atlantic_spotted_dolphin,OCS-A 0508 - Avangrid Renewables LLC,2,0,0.77285427
Atlantic_spotted_dolphin,OCS-A 0508 - Avangrid Renewables LLC,2,10000,0.60098845
Atlantic_spotted_dolphin,OCS-A 0508 - Avangrid Renewables LLC,2,50000,1.9232839
Atlantic_spotted_dolphin,OCS-A 0508 - Avangrid Renewables LLC,2,100000,3.438618
Atlantic_spotted_dolphin,"OCS-A 0512  -  Empire Offshore Wind, LLC",2,0,0.00021033944
Atlantic_spotted_dolphin,"OCS-A 0512  -  Empire Offshore Wind, LLC",2,10000,0.00033078302
Atlantic_spotted_dolphin,"OCS-A 0512  -  Empire Offshore Wind, LLC",2,50000,0.0012423395
Atlantic_spotted_dolphin,"OCS-A 0512  -  Empire Offshore Wind, LLC",2,100000,0.004486932
Atlantic_spotted_dolphin,"OCS-A 0517 - South Fork Wind, LLC",2,0,5.8180874e-05
Atlantic_spotted_dolphin,"OCS-A 0517 - South Fork Wind, LLC",2,10000,7.065056e-05
Atlantic_spotted_dolphin,"OCS-A 0517 - South Fork Wind, LLC",2,50000,0.00015967376
Atlantic_spotted_dolphin,"OCS-A 0517 - South Fork Wind, LLC",2,100000,0.0005584137
Atlantic_spotted_dolphin,OCS-A 0519 - Skipjack Offshore Energy LLC,2,0,0.00094861194
Atlantic_spotted_dolphin,OCS-A 0519 - Skipjack Offshore Energy LLC,2,10000,0.001152326
Atlantic_spotted_dolphin,OCS-A 0519 - Skipjack Offshore Energy LLC,2,50000,0.007836657
Atlantic_spotted_dolphin,OCS-A 0519 - Skipjack Offshore Energy LLC,2,100000,0.120853975
Atlantic_spotted_dolphin,OCS-A 0520 - Beacon Wind LLC,2,0,0.00025487272
Atlantic_spotted_dolphin,OCS-A 0520 - Beacon Wind LLC,2,10000,0.0002420109
Atlantic_spotted_dolphin,OCS-A 0520 - Beacon Wind LLC,2,50000,0.0004918391
Atlantic_spotted_dolphin,OCS-A 0520 - Beacon Wind LLC,2,100000,0.11245635
Atlantic_spotted_dolphin,OCS-A 0521 - SouthCoast Wind Energy LLC,2,0,0.0002673494
Atlantic_spotted_dolphin,OCS-A 0521 - SouthCoast Wind Energy LLC,2,10000,0.00027547288
Atlantic_spotted_dolphin,OCS-A 0521 - SouthCoast Wind Energy LLC,2,50000,0.00056806597
Atlantic_spotted_dolphin,OCS-A 0521 - SouthCoast Wind Energy LLC,2,100000,0.1882481
Atlantic_spotted_dolphin,OCS-A 0522 - Vineyard Northeast LLC,2,0,0.0003166356
Atlantic_spotted_dolphin,OCS-A 0522 - Vineyard Northeast LLC,2,10000,0.00032573016
Atlantic_spotted_dolphin,OCS-A 0522 - Vineyard Northeast LLC,2,50000,0.00059869105
Atlantic_spotted_dolphin,OCS-A 0522 - Vineyard Northeast LLC,2,100000,0.22508846
Atlantic_spotted_dolphin,OCS-A 0532 - Orsted North America Inc.,2,0,7.4899275e-05
Atlantic_spotted_dolphin,OCS-A 0532 - Orsted North America Inc.,2,10000,0.00022688133
Atlantic_spotted_dolphin,OCS-A 0532 - Orsted North America Inc.,2,50000,0.0028701373
Atlantic_spotted_dolphin,OCS-A 0532 - Orsted North America Inc.,2,100000,0.029708005
Atlantic_spotted_dolphin,OCS-A 0534 - Park City Wind LLC,2,0,0.0002085593
Atlantic_spotted_dolphin,OCS-A 0534 - Park City Wind LLC,2,10000,0.00017741426
Atlantic_spotted_dolphin,OCS-A 0534 - Park City Wind LLC,2,50000,0.00035518908
Atlantic_spotted_dolphin,OCS-A 0534 - Park City Wind LLC,2,100000,0.03332678
Atlantic_spotted_dolphin,"OCS-A 0537 - Bluepoint Wind, LLC",2,0,0.006405945
Atlantic_spotted_dolphin,"OCS-A 0537 - Bluepoint Wind, LLC",2,10000,0.0076497975
Atlantic_spotted_dolphin,"OCS-A 0537 - Bluepoint Wind, LLC",2,50000,0.009774837
Atlantic_spotted_dolphin,"OCS-A 0537 - Bluepoint Wind, LLC",2,100000,0.30066845
Atlantic_spotted_dolphin,OCS-A 0538 - Attentive Energy LLC,2,0,0.004801463
Atlantic_spotted_dolphin,OCS-A 0538 - Attentive Energy LLC,2,10000,0.0057976968
Atlantic_spotted_dolphin,OCS-A 0538 - Attentive Energy LLC,2,50000,0.010394764
Atlantic_spotted_dolphin,OCS-A 0538 - Attentive Energy LLC,2,100000,0.3007578
Atlantic_spotted_dolphin,"OCS-A 0539 - Community Offshore Wind, LLC",2,0,0.0038681808
Atlantic_spotted_dolphin,"OCS-A 0539 - Community Offshore Wind, LLC",2,10000,0.004516692
Atlantic_spotted_dolphin,"OCS-A 0539 - Community Offshore Wind, LLC",2,50000,0.013208028
Atlantic_spotted_dolphin,"OCS-A 0539 - Community Offshore Wind, LLC",2,100000,0.3584819
Atlantic_spotted_dolphin,"OCS-A 0541 - Atlantic Shores Offshore Wind Bight, LLC",2,0,0.002885765
Atlantic_spotted_dolphin,"OCS-A 0541 - Atlantic Shores Offshore Wind Bight, LLC",2,10000,0.0029967926
Atlantic_spotted_dolphin,"OCS-A 0541 - Atlantic Shores Offshore Wind Bight, LLC",2,50000,0.011638247
Atlantic_spotted_dolphin,"OCS-A 0541 - Atlantic Shores Offshore Wind Bight, LLC",2,100000,0.31017652
Atlantic_spotted_dolphin,OCS-A 0542 - Invenergy Wind Offshore LLC,2,0,0.0048562246
Atlantic_spotted_dolphin,OCS-A 0542 - Invenergy Wind Offshore LLC,2,10000,0.005098597
Atlantic_spotted_dolphin,OCS-A 0542 - Invenergy Wind Offshore LLC,2,50000,0.018215481
Atlantic_spotted_dolphin,OCS-A 0542 - Invenergy Wind Offshore LLC,2,100000,0.4847761
Atlantic_spotted_dolphin,OCS-A 0544 - Vineyard Mid-Atlantic LLC,2,0,0.0006047417
Atlantic_spotted_dolphin,OCS-A 0544 - Vineyard Mid-Atlantic LLC,2,10000,0.0007629662
Atlantic_spotted_dolphin,OCS-A 0544 - Vineyard Mid-Atlantic LLC,2,50000,0.0019273354
Atlantic_spotted_dolphin,OCS-A 0544 - Vineyard Mid-Atlantic LLC,2,100000,0.0060117547
Atlantic_spotted_dolphin,"OCS-A 0545 - TotalEnergies Carolina Long Bay, LLC",2,0,5.7826524
Atlantic_spotted_dolphin,"OCS-A 0545 - TotalEnergies Carolina Long Bay, LLC",2,10000,7.531381
Atlantic_spotted_dolphin,"OCS-A 0545 - TotalEnergies Carolina Long Bay, LLC",2,50000,9.206491
Atlantic_spotted_dolphin,"OCS-A 0545 - TotalEnergies Carolina Long Bay, LLC",2,100000,6.5115232
Atlantic_spotted_dolphin,"OCS-A 0546 - Duke Energy Renewables Wind, LLC",2,0,8.949398
Atlantic_spotted_dolphin,"OCS-A 0546 - Duke Energy Renewables Wind, LLC",2,10000,11.008911
Atlantic_spotted_dolphin,"OCS-A 0546 - Duke Energy Renewables Wind, LLC",2,50000,9.558714
Atlantic_spotted_dolphin,"OCS-A 0546 - Duke Energy Renewables Wind, LLC",2,100000,6.2244244
Atlantic_spotted_dolphin,"OCS-A 0549 - Atlantic Shores Offshore Wind, LLC",2,0,2.2658442e-05
Atlantic_spotted_dolphin,"OCS-A 0549 - Atlantic Shores Offshore Wind, LLC",2,10000,6.801267e-05
Atlantic_spotted_dolphin,"OCS-A 0549 - Atlantic Shores Offshore Wind, LLC",2,50000,0.0014220752
Atlantic_spotted_dolphin,"OCS-A 0549 - Atlantic Shores Offshore Wind, LLC",2,100000,0.016232511
Atlantic_spotted_dolphin,"OCS-G 37334 - RWE Offshore US Gulf, LLC",2,0,nan
Atlantic_spotted_dolphin,"OCS-G 37334 - RWE Offshore US Gulf, LLC",2,10000,nan
Atlantic_spotted_dolphin,"OCS-G 37334 - RWE Offshore US Gulf, LLC",2,50000,nan
Atlantic_spotted_dolphin,"OCS-G 37334 - RWE Offshore US Gulf, LLC",2,100000,nan
Atlantic_spotted_dolphin,OCS-A 0482 - GSOE I  LLC,3,0,0.0008791225
Atlantic_spotted_dolphin,OCS-A 0482 - GSOE I  LLC,3,10000,0.0013146704
Atlantic_spotted_dolphin,OCS-A 0482 - GSOE I  LLC,3,50000,0.008621915
Atlantic_spotted_dolphin,OCS-A 0482 - GSOE I  LLC,3,100000,0.08460525
Atlantic_spotted_dolphin,OCS-A 0483 - Virginia Electric and Power Company,3,0,0.03594611
Atlantic_spotted_dolphin,OCS-A 0483 - Virginia Electric and Power Company,3,10000,0.044130296
Atlantic_spotted_dolphin,OCS-A 0483 - Virginia Electric and Power Company,3,50000,0.16852205
Atlantic_spotted_dolphin,OCS-A 0483 - Virginia Electric and Power Company,3,100000,1.6863528
Atlantic_spotted_dolphin,"OCS-A 0486 - Revolution Wind, LLC",3,0,2.578287e-05
Atlantic_spotted_dolphin,"OCS-A 0486 - Revolution Wind, LLC",3,10000,3.9316856e-05
Atlantic_spotted_dolphin,"OCS-A 0486 - Revolution Wind, LLC",3,50000,0.00028017757
Atlantic_spotted_dolphin,"OCS-A 0486 - Revolution Wind, LLC",3,100000,0.0007955828
Atlantic_spotted_dolphin,OCS-A 0487 - Sunrise Wind LLC,3,0,0.00028571172
Atlantic_spotted_dolphin,OCS-A 0487 - Sunrise Wind LLC,3,10000,0.0003153854
Atlantic_spotted_dolphin,OCS-A 0487 - Sunrise Wind LLC,3,50000,0.0005056519
Atlantic_spotted_dolphin,OCS-A 0487 - Sunrise Wind LLC,3,100000,0.002655602
Atlantic_spotted_dolphin,OCS-A 0490 - US Wind Inc.,3,0,0.0011982747
Atlantic_spotted_dolphin,OCS-A 0490 - US Wind Inc.,3,10000,0.0029193808
Atlantic_spotted_dolphin,OCS-A 0490 - US Wind Inc.,3,50000,0.031716455
Atlantic_spotted_dolphin,OCS-A 0490 - US Wind Inc.,3,100000,0.37514332
Atlantic_spotted_dolphin,OCS-A 0498 - Ocean Wind LLC,3,0,0.0003763683
Atlantic_spotted_dolphin,OCS-A 0498 - Ocean Wind LLC,3,10000,0.0010482573
Atlantic_spotted_dolphin,OCS-A 0498 - Ocean Wind LLC,3,50000,0.0057328357
Atlantic_spotted_dolphin,OCS-A 0498 - Ocean Wind LLC,3,100000,0.035174217
Atlantic_spotted_dolphin,"OCS-A 0499 - Atlantic Shores Offshore Wind Projects 1 & 2, LLC's",3,0,0.00033647462
Atlantic_spotted_dolphin,"OCS-A 0499 - Atlantic Shores Offshore Wind Projects 1 & 2, LLC's",3,10000,0.00090384705
Atlantic_spotted_dolphin,"OCS-A 0499 - Atlantic Shores Offshore Wind Projects 1 & 2, LLC's",3,50000,0.005438977
